age,weight,height,diet_preference,diet_goal,bmi,calories,breakfast_percentage,lunch_percentage,dinner_percentage,breakfast_meal,lunch_meal,dinner_meal
25,70,175,veg,weight loss,22.9,2200,0.3,0.4,0.3,Oatmeal with fruits and nuts,Grilled chicken and veggies,Salmon with quinoa
30,80,180,non-veg,weight loss,24.7,2500,0.25,0.45,0.3,Scrambled eggs and toast,Chicken salad,Grilled fish with vegetables
40,85,170,veg,muscle gain,29.3,2700,0.35,0.4,0.25,Greek yogurt with granola,Lentil soup with rice,Quinoa salad with chickpeas
50,95,165,non-veg,muscle gain,34.9,2800,0.4,0.35,0.25,Boiled eggs and spinach,Grilled chicken with veggies,Steamed salmon with asparagus
35,70,160,non-veg,weight loss,27.3,2300,0.3,0.5,0.2,Avocado toast with eggs,Turkey sandwich,Vegetable stir-fry with tofu
45,78,168,veg,weight loss,27.6,2100,0.3,0.4,0.3,Chia pudding,Vegetable stir-fry with tofu,Grilled tofu with quinoa
28,75,173,non-veg,muscle gain,26.5,2600,0.3,0.4,0.3,Protein smoothie,Grilled chicken with veggies,Salmon with sweet potatoes
60,88,180,non-veg,weight loss,27.2,2200,0.25,0.45,0.3,Omelette with spinach,Chicken salad,Roasted chicken with broccoli
38,80,175,veg,muscle gain,26.1,2400,0.3,0.4,0.3,Greek yogurt with honey,Lentil soup,Grilled vegetables with quinoa
29,72,169,non-veg,weight loss,25.2,2100,0.3,0.4,0.3,Boiled eggs and avocado,Chicken wrap,Grilled shrimp with vegetables
33,78,160,veg,muscle gain,30.5,2700,0.35,0.4,0.25,Oatmeal with almonds,Quinoa salad,Tofu stir-fry with veggies
50,82,170,non-veg,muscle gain,28.3,2600,0.3,0.45,0.25,Eggs with spinach,Grilled chicken,Grilled salmon with rice
34,67,160,veg,weight loss,25.9,2000,0.3,0.5,0.2,Greek yogurt with berries,Vegetable curry with rice,Quinoa salad with chickpeas
60,75,175,non-veg,muscle gain,24.5,2500,0.35,0.4,0.25,Boiled eggs,Grilled chicken with salad,Grilled chicken breast
40,85,168,veg,weight loss,32.1,2300,0.3,0.4,0.3,Oatmeal with fruits and nuts,Vegetable stir-fry,Tofu and rice
36,80,177,non-veg,weight loss,28.5,2100,0.25,0.45,0.3,Avocado toast,Chicken salad,Roasted chicken with broccoli
42,88,165,non-veg,muscle gain,32.2,2700,0.35,0.4,0.25,Smoothie with protein powder,Grilled chicken and vegetables,Steak with quinoa
31,70,173,veg,muscle gain,24.7,2500,0.3,0.4,0.3,Greek yogurt with honey,Lentil soup,Grilled vegetables with quinoa
25,65,160,non-veg,weight loss,25.4,2100,0.3,0.4,0.3,Boiled eggs and avocado,Chicken salad,Grilled chicken with vegetables
55,90,180,veg,muscle gain,27.8,2800,0.4,0.35,0.25,Greek yogurt with berries,Quinoa salad,Tofu stir-fry
40,80,175,non-veg,weight loss,26.1,2200,0.3,0.45,0.25,Omelette with spinach,Chicken wrap,Grilled fish with vegetables
29,75,170,non-veg,muscle gain,26.0,2400,0.35,0.4,0.25,Protein smoothie,Grilled chicken with rice,Salmon with roasted vegetables
53,88,165,veg,weight loss,32.3,2100,0.3,0.45,0.25,Chia seeds,Vegetable stir-fry,Grilled tofu
32,78,168,non-veg,muscle gain,27.6,2600,0.3,0.4,0.3,Oatmeal with nuts,Grilled chicken with quinoa,Salmon with sweet potatoes
40,85,180,veg,weight loss,28.9,2300,0.3,0.45,0.25,Greek yogurt with fruit,Lentil soup with rice,Grilled tofu with veggies
48,90,170,non-veg,weight loss,31.0,2200,0.25,0.5,0.25,Avocado toast,Chicken breast,Vegetable stir-fry with tofu
60,80,160,veg,muscle gain,25.6,2500,0.35,0.4,0.25,Smoothie with protein powder,Quinoa salad,Tofu stir-fry with vegetables
47,85,175,non-veg,muscle gain,27.8,2600,0.3,0.4,0.3,Boiled eggs and avocado,Grilled chicken,Grilled salmon
